run_name,scenario,loss_weight,pde_weight,noise_type,noise_level,bias_type,bias_level,rel_l2_u,rel_l2_v,rel_l2_p,adam_steps,n_train
lw_0p800_gaussian_0p050_cosine_0p500,noise_gaussian_0p050__bias_cosine_0p500,0.8,0.19999999999999996,gaussian,0.05,cosine,0.5,0.23467905819416046,0.485622763633728,1.2482373714447021,10000,5000
lw_0p800_gaussian_0p050_cosine_0p800,noise_gaussian_0p050__bias_cosine_0p800,0.8,0.19999999999999996,gaussian,0.05,cosine,0.8,0.38117343187332153,0.7824130058288574,2.080897092819214,10000,5000
lw_1p000,clean,1.0,0.0,none,0.0,none,0.0,0.030491866171360016,0.11371149122714996,2.489781618118286,10000,5000
lw_1p000_cosine_0p300,bias_cosine_0p300,1.0,0.0,none,0.0,cosine,0.3,0.1641799956560135,0.37079760432243347,4.863196849822998,10000,5000
lw_1p000_cosine_0p500,bias_cosine_0p500,1.0,0.0,none,0.0,cosine,0.5,0.28615644574165344,0.6992710828781128,7.696322441101074,10000,5000
lw_1p000_cosine_0p800,bias_cosine_0p800,1.0,0.0,none,0.0,cosine,0.8,0.5736162066459656,1.4592499732971191,6.637755393981934,10000,5000
lw_1p000_gaussian_0p050,noise_gaussian_0p050,1.0,0.0,gaussian,0.05,none,0.0,0.02989231050014496,0.11686697602272034,2.515401840209961,10000,5000
lw_1p000_gaussian_0p050_cosine_0p300,noise_gaussian_0p050__bias_cosine_0p300,1.0,0.0,gaussian,0.05,cosine,0.3,0.15681228041648865,0.3299051821231842,4.592245578765869,10000,5000
lw_1p000_gaussian_0p050_cosine_0p500,noise_gaussian_0p050__bias_cosine_0p500,1.0,0.0,gaussian,0.05,cosine,0.5,0.2684255540370941,0.5789297819137573,4.818368434906006,10000,5000
lw_1p000_gaussian_0p050_cosine_0p800,noise_gaussian_0p050__bias_cosine_0p800,1.0,0.0,gaussian,0.05,cosine,0.8,0.9089294075965881,2.7387681007385254,5.624691963195801,10000,5000
